order_id,customer_id,order_date,order_status,shipping_id,payment_id,billing_address,coupon_id
34512418,108130,04/30/2023,Cancelled,16144,885164,"Unit 6461 Box 2245
DPO AA 35610",76461
34512419,110461,09/22/2022,Processing,10246,882439,,78198
34512420,108643,11/24/2022,Processing,15225,891584,"0158 Jessica Radial
Jenniferborough, AZ 63284",76725
34512421,105286,07/13/2023,Cancelled,24280,897314,"737 White Valleys
Port Robert, NH 18244",77576
34512422,109941,07/14/2023,Cancelled,20945,891812,"59368 Kevin Valley Suite 917
Lake Bradleyfort, NC 70283",76562
34512423,103016,08/05/2022,Processing,22374,888854,,78087
34512424,110228,11/22/2022,Delivered,8642,885140,"1655 Smith Mews Apt. 089
New Beverlyhaven, TX 23478",76878
34512425,110751,04/15/2023,Delivered,9451,883212,,77810
34512426,110910,10/31/2022,Cancelled,22637,893557,"592 Gonzales Flat Suite 215
North Stephanie, MO 07864",77561
34512427,104234,09/07/2022,Processing,8557,890823,"63798 Bennett Court Suite 867
Lake Danielle, FL 29973",77528
34512428,101876,05/28/2023,Cancelled,11798,894471,"26576 Norris Crossing
East Johnland, SC 61554",76790
34512429,102984,04/30/2023,Processing,24122,893520,"9617 Autumn Glens
West Dylan, SC 24489",77392
34512430,105489,02/05/2023,Shipped,8009,892917,"7943 David Lock
Hansonport, NE 04853",77692
34512431,106135,01/24/2023,Shipped,16892,881996,,77122
34512432,102005,05/04/2023,Processing,16346,890853,"63710 Christine Course
North Davidside, NE 57556",76826
34512433,104723,12/21/2022,Shipped,19391,887948,"USNV Hall
FPO AA 28163",76624
34512434,107215,08/28/2022,Processing,25332,879901,"25625 Kelsey Junctions Suite 950
Port Jerry, NH 29875",78240
34512435,106762,10/06/2022,Processing,20047,886902,"USCGC Williams
FPO AE 25321",77788
34512436,104372,04/29/2023,Delivered,16755,893934,"11759 Richardson Lake
North Samuelmouth, OH 16729",77139
34512437,104351,07/20/2023,Shipped,24346,887319,"6265 Brent Spur Suite 837
Donaldland, TX 26885",77082
34512438,108179,07/28/2023,Processing,13446,897677,,78353
34512439,105200,09/23/2022,Processing,11842,890032,"1805 Johnson Flats Apt. 773
Rodneyside, NV 33555",77028
34512440,104233,11/09/2022,Cancelled,13172,878588,"3258 Sheppard Valleys
Sarachester, VI 91828",77454
34512441,110467,11/23/2022,Processing,20335,879500,"559 Maria Street
Adamsside, IN 50071",78341
34512442,103651,07/24/2023,Processing,8032,893941,"96402 Ramirez Shore
Walterschester, MP 39584",76903
34512443,107467,09/12/2022,Cancelled,15718,892366,,76712
34512444,108353,11/01/2022,Shipped,22915,889615,"422 Eric Forks Apt. 962
Tiffanyview, CO 68815",77524
34512445,102537,08/07/2022,Processing,22295,891325,"USS Rich
FPO AE 43016",77022
34512446,109745,06/07/2023,Processing,9643,896842,"4537 Edwards Stream
Lake Jackiefurt, WI 96138",76885
34512447,101427,07/04/2023,Delivered,7759,878892,"9360 Olson Parks Suite 209
Jonesburgh, NC 24223",76935
34512448,102564,12/13/2022,Processing,16418,881607,,77670
34512449,108135,04/29/2023,Cancelled,10631,882711,,78150
34512450,110130,10/21/2022,Delivered,16013,880082,"54568 Kathryn Underpass Apt. 432
Mandyland, TX 25438",76914
34512451,104018,02/14/2023,Shipped,5765,887466,"00960 Christopher Mount
Chapmanbury, TX 40685",77574
34512452,105664,06/11/2023,Shipped,18145,882747,"195 Christopher Curve Apt. 302
West Andrew, LA 75024",78359
34512453,103702,06/03/2023,Delivered,24046,888893,"74473 Michelle Well Suite 637
Martinezbury, MT 26183",78386
34512454,108487,06/25/2023,Shipped,8710,880024,"19535 Tucker Mews Apt. 656
Port Roger, PA 03716",77869
34512455,103617,12/30/2022,Cancelled,16221,884332,"58904 Randy Parkway Suite 728
Fisherbury, PW 40947",77128
34512456,107420,05/11/2023,Processing,18830,890730,"8437 Pittman Mall Apt. 545
East Corey, SD 62966",78312
34512457,109221,07/19/2023,Cancelled,20757,881324,"Unit 9277 Box 4086
DPO AA 26516",76899
34512458,102054,09/09/2022,Shipped,17216,884416,"2208 Brian Drive
Lopezborough, FL 82742",77478
34512459,110013,04/03/2023,Delivered,16450,887784,"8754 Kari Island
New Debra, OR 42676",77369
34512460,107826,01/18/2023,Cancelled,5768,892008,"585 Hunt Track Suite 775
Brianland, IA 11429",77258
34512461,104945,05/29/2023,Cancelled,5950,890287,"6660 Perkins Glens
Marcuston, AS 24734",77239
34512462,109940,05/22/2023,Shipped,22138,884884,"7488 Amy Turnpike
Roberthaven, PA 29646",77058
34512463,104979,11/14/2022,Cancelled,19122,890762,"21563 Mackenzie Drive Suite 154
Hillfort, MN 17615",77284
34512464,107325,05/08/2023,Processing,7847,895206,"9710 Larry Shoals
Sandrahaven, PW 81837",77002
34512465,102900,07/24/2023,Processing,17169,885672,,76562
34512466,105875,09/29/2022,Delivered,20784,896906,"31147 Paul Meadow
East Susan, AR 08067",78033
34512467,110742,06/13/2023,Processing,10303,879862,"0858 Anna Passage Apt. 169
Jacobside, AZ 39193",78082
34512468,108789,04/09/2023,Processing,21409,890521,,77695
34512469,105307,02/11/2023,Processing,21106,893540,"02340 Tiffany Street Apt. 434
Savannahside, OK 86121",77319
34512470,110813,03/09/2023,Delivered,22623,897087,"882 Joseph Shores
Maryburgh, OH 72168",77891
34512471,110225,02/10/2023,Shipped,12266,895419,"499 Olson Islands Apt. 879
Port Michaelport, MO 40696",77733
34512472,108630,11/07/2022,Cancelled,8614,881304,"2991 William Underpass
East Amanda, ND 82815",78052
34512473,104254,02/24/2023,Delivered,17735,884156,"564 Harding Club Suite 404
Hatfieldmouth, FL 91094",77552
34512474,105920,11/04/2022,Cancelled,15254,887197,"30914 Ramsey Shores
Atkinsonland, FL 09200",77678
34512475,109628,10/30/2022,Delivered,6601,880819,"7857 Roach Cape Apt. 916
West Christian, CT 42732",77066
34512476,101897,12/14/2022,Cancelled,11938,883701,"71588 Davis Ford
Williamston, IL 05884",76771
34512477,110942,07/19/2023,Cancelled,13228,885899,"656 Hamilton Grove Suite 243
Markville, AK 77967",76928
34512478,106458,05/05/2023,Cancelled,14172,880705,"15385 Connor Haven Apt. 232
Aguilarton, FM 32764",76820
34512479,102768,05/24/2023,Shipped,7039,897600,,76490
34512480,103663,03/02/2023,Delivered,18529,882443,"9610 Roberson Drives
New Ianburgh, WI 75340",76482
34512481,109501,05/20/2023,Processing,23747,879256,"597 Williams Vista Suite 277
Robinsonland, FM 80548",78304
34512482,110865,11/29/2022,Processing,18030,893016,"94489 Miller Fork Apt. 054
Wellsview, NC 48869",78211
34512483,101692,03/16/2023,Shipped,24285,879559,"184 Christine Lane
Clarkmouth, HI 72675",78089
34512484,109586,01/01/2023,Shipped,17915,896145,"4306 Anthony Points
North Davidstad, ME 22748",76894
34512485,106069,03/10/2023,Processing,19715,889635,"732 Carter Coves
Lake Mark, OK 01648",78219
34512486,106052,09/27/2022,Processing,22261,882909,"523 Black Mission Apt. 350
East Lisaburgh, KY 85763",77133
34512487,104499,11/21/2022,Shipped,19843,889088,"2802 Megan Squares
Odomview, NV 75545",77925
34512488,107652,05/27/2023,Shipped,20483,885014,"1291 Christina Stream Suite 224
Mariaborough, AK 65306",78016
34512489,104506,01/06/2023,Shipped,15444,895645,"74785 Alvarez Circles
New John, PA 04159",76786
34512490,109921,09/30/2022,Delivered,15507,893388,"133 Jennifer Keys
Angelaside, GA 06547",77317
34512491,104761,08/23/2022,Processing,14649,887058,,77849
34512492,110411,04/29/2023,Delivered,18323,886354,"PSC 5370, Box 6456
APO AP 39058",77175
34512493,109009,03/28/2023,Cancelled,22348,887467,"00332 Davis Mission
Wheelerton, NM 67435",76852
34512494,102165,02/24/2023,Cancelled,13487,894881,"192 Boyd Viaduct Suite 342
Howellville, FM 46991",77681
34512495,106229,04/24/2023,Processing,14849,897348,,78317
34512496,105467,08/19/2022,Shipped,19705,881598,"83818 Martin Walks Suite 927
Rachaelton, MS 15217",77871
34512497,105339,11/05/2022,Cancelled,25038,886209,"657 Taylor Summit
Morrisview, HI 06788",77211
34512498,108618,11/09/2022,Processing,19519,886992,"94551 Tyler Union
Heatherton, WA 60246",76760
34512499,109883,11/27/2022,Shipped,18242,888368,"8004 Mary Forks
Nicholasville, WA 48059",78216
34512500,104629,08/15/2022,Shipped,16421,878207,"31721 Weber Fields Apt. 296
Darylfurt, AS 87273",78101
34512501,104895,06/03/2023,Cancelled,25029,893614,"407 Suzanne Dam
Jesusburgh, AK 08507",78425
34512502,102307,01/12/2023,Shipped,9204,880158,"4774 Jesse Forks
Samanthachester, MS 63278",77025
34512503,104662,03/04/2023,Cancelled,18594,885785,"89180 Peggy Wall Suite 620
South Dean, WI 72154",77073
34512504,102555,09/03/2022,Cancelled,15847,883102,,77853
34512505,104061,07/21/2023,Shipped,8610,890124,"47585 Rowland Shoals
West Brian, WI 09093",77356
34512506,107842,11/10/2022,Delivered,11369,884052,"8062 Ryan Tunnel Suite 890
Danielleberg, OR 79945",77993
34512507,107625,12/08/2022,Processing,17647,888802,"4713 Jeffrey Forest Suite 697
Vasquezstad, OH 22275",77673
34512508,102819,04/30/2023,Cancelled,5826,890254,"78576 Simon Spur
Port Megan, MH 56947",78208
34512509,103566,04/28/2023,Processing,16525,895331,,77573
34512510,106621,07/30/2023,Shipped,17365,890875,,76900
34512511,109669,11/28/2022,Shipped,12478,892075,"1853 Chapman Lock Suite 428
Port Jamesberg, NJ 16505",76617
34512512,104861,10/16/2022,Processing,16202,893111,"2326 Mclaughlin Pike
Kathleenfort, MT 35628",77040
34512513,110690,03/26/2023,Shipped,17476,885036,"USNS Wolfe
FPO AP 64042",78340
34512514,104820,09/18/2022,Processing,9379,881758,"Unit 5916 Box 3705
DPO AP 68144",76895
34512515,107334,05/19/2023,Delivered,21905,891133,"703 Adams Corner
East Bonnieside, NM 60343",76827
34512516,104590,08/02/2023,Processing,12624,884856,"44575 Sellers Loop Apt. 177
Michaelland, WV 72196",77598
34512517,102414,12/13/2022,Processing,22512,879172,"8985 Cynthia Ports
Tylermouth, VI 35114",78284
34512518,101385,03/30/2023,Cancelled,22303,888095,"429 Tammy Trafficway
East Jonathanview, ID 19544",77474
34512519,101428,10/26/2022,Shipped,6860,882194,,77538
34512520,102517,02/23/2023,Delivered,18073,882019,"04323 Sean Vista Suite 223
Richardbury, GA 33899",78106
34512521,103600,12/14/2022,Cancelled,15146,880286,,77352
34512522,104617,11/21/2022,Delivered,8076,883181,,76842
34512523,103474,06/27/2023,Cancelled,12532,883855,,77613
34512524,110229,07/30/2023,Delivered,9321,887306,"6293 Powell Light
Nicholastown, VT 20917",77436
34512525,105169,05/19/2023,Shipped,5946,880421,"614 Chelsea Meadows
Flemingstad, ND 73589",78239
34512526,104999,11/09/2022,Processing,15156,885989,"13694 Nguyen Ville Apt. 539
South Anthonyhaven, AZ 95122",76535
34512527,101574,04/17/2023,Processing,19581,880560,"7816 Graham Corner
East Ashley, NE 19754",77168
34512528,109234,11/28/2022,Processing,25089,883828,"56924 Elizabeth Shores
Janeborough, FM 34597",77697
34512529,101318,09/20/2022,Shipped,20227,886497,,78020
34512530,107952,08/15/2022,Shipped,13730,896503,,77878
34512531,105625,11/24/2022,Shipped,14353,880643,"269 Christopher Crescent
South Daniel, ID 54934",77316
34512532,105248,07/29/2023,Shipped,17091,895483,"595 Harrison Meadows Suite 032
Andrewville, RI 69461",77102
34512533,101541,07/21/2023,Delivered,22021,878448,"392 Lowe Hollow
Fieldschester, SD 82349",77448
34512534,105898,10/21/2022,Cancelled,5945,890267,"PSC 6288, Box 7648
APO AP 23015",77003
34512535,109103,11/11/2022,Processing,14294,894738,"7578 Glover Extension Suite 497
North Dennis, IL 67065",77339
34512536,104718,01/21/2023,Shipped,9504,882423,"72763 Alejandro Plain
Fieldsmouth, GU 53736",77891
34512537,109158,10/19/2022,Cancelled,6264,895645,"6424 Todd Manors
North Jennifer, RI 24842",77894
34512538,105216,03/06/2023,Delivered,23022,890328,"995 Lisa Mall Apt. 002
New Alejandrotown, CT 19830",76633
34512539,102978,09/11/2022,Processing,8768,897291,"214 Clark Manors
Stevensview, IA 73706",78430
34512540,102810,09/24/2022,Cancelled,19816,895367,"98847 Henry Alley Suite 936
Michaelmouth, OH 40304",77672
34512541,102312,02/27/2023,Delivered,8801,881233,"PSC 2074, Box 8850
APO AE 25781",76741
34512542,101764,05/13/2023,Shipped,17455,879667,"353 Julie Manor
Friedmanshire, OR 88076",77381
34512543,109329,02/25/2023,Shipped,12678,882883,"936 Dennis Brook
Lake Charles, IA 24062",77986
34512544,105835,06/07/2023,Cancelled,11260,895415,"683 Dana Canyon
North Andrewview, OH 37255",77580
34512545,106892,11/08/2022,Delivered,12743,896422,"444 Jones Light
Lake Kimberlychester, OH 28953",77241
34512546,105455,03/02/2023,Cancelled,8317,884710,"3015 Peggy Forges Suite 475
West Johnfurt, NJ 47159",77155
34512547,101822,10/13/2022,Cancelled,7715,886139,"365 Henry Gardens Apt. 849
Johnsontown, CO 19527",77283
34512548,102329,09/15/2022,Cancelled,23663,879942,"0483 Jacqueline Plains
Port Melissafort, AR 45862",78026
34512549,107419,11/20/2022,Processing,25392,893714,"9776 Theresa Passage
Port Tinabury, WI 09424",77545
34512550,102252,05/18/2023,Shipped,22187,879304,"5837 Maxwell Orchard Apt. 596
Alvareztown, LA 70297",78320
34512551,107799,01/27/2023,Cancelled,5804,889088,,78432
34512552,107114,12/05/2022,Delivered,13357,879978,"63389 Alvarado Stravenue
South Thomasmouth, KS 23627",78040
34512553,102930,04/12/2023,Shipped,6081,880288,"PSC 5703, Box 8240
APO AE 37563",76687
34512554,105920,11/23/2022,Processing,13628,887946,"383 Burton Expressway
Lake David, VT 33837",77852
34512555,110011,10/10/2022,Cancelled,20461,894661,"6250 Andrea Union
Michaelbury, AK 26031",78056
34512556,103933,10/31/2022,Delivered,15714,885834,"73021 Jackson Villages
Bellhaven, NV 09317",77935
34512557,103612,08/16/2022,Processing,9402,893583,"0017 Lee Hill Suite 396
Jasonfurt, AS 59776",77459
34512558,106414,03/21/2023,Processing,13610,879090,"39496 Lisa Shore
Lake Amy, OR 74499",77210
34512559,107505,02/01/2023,Processing,22061,896726,,78090
34512560,106294,09/09/2022,Shipped,18618,897255,"17699 David Green
Mendozaport, DC 71634",76686
34512561,104225,03/01/2023,Cancelled,15425,885624,"9524 Thomas Corners
Stephensonton, GA 66691",77565
34512562,108027,01/11/2023,Cancelled,22006,897006,"276 Hailey Overpass Apt. 435
Richardland, DE 17091",78352
34512563,107753,04/18/2023,Delivered,18694,889768,"61427 Phillip Lodge
West Veronica, MH 21157",76715
34512564,110090,06/30/2023,Delivered,7040,887808,"152 Wilson Isle
Kristineshire, PR 24943",77848
34512565,101359,08/20/2022,Cancelled,16157,890425,"67747 Tanya Burg
East Thomas, PW 15958",78018
34512566,107100,08/02/2023,Processing,21723,894345,"20756 Todd Walks
West Jacob, VT 22137",76707
34512567,104251,05/19/2023,Processing,7693,889630,"203 Davis Highway Suite 963
Gabrielland, PA 01294",76662
34512568,105397,04/05/2023,Cancelled,18444,895110,"222 Bryant Mountains Apt. 615
East Danielview, WV 93809",77160
34512569,109549,12/13/2022,Cancelled,23834,887466,"Unit 7413 Box 7377
DPO AE 31546",78124
34512570,108555,03/22/2023,Processing,20016,896506,,77801
34512571,104965,11/27/2022,Shipped,11883,888428,"0460 Elizabeth Point
Port Joshua, MT 26676",77360
34512572,101349,08/29/2022,Cancelled,15774,880842,"831 Frazier Roads
New Jacquelineside, NV 07423",77034
34512573,109369,07/27/2023,Cancelled,6718,888870,"PSC 5682, Box 3153
APO AA 75835",76972
34512574,109189,12/03/2022,Delivered,10327,884840,,77843
34512575,110776,10/05/2022,Processing,21049,886251,,76816
34512576,103668,02/13/2023,Processing,22119,878160,,78324
34512577,103338,07/15/2023,Cancelled,23575,895742,"0206 Jacqueline Terrace Suite 126
Amyshire, TX 79099",77637
34512578,104961,04/26/2023,Cancelled,16356,887537,,76728
34512579,106506,01/14/2023,Shipped,11112,879589,"Unit 6674 Box 5220
DPO AE 48314",78451
34512580,108274,10/14/2022,Shipped,16967,894081,"18159 Mann Manors Apt. 792
Carlosmouth, WV 92233",78156
34512581,109324,10/16/2022,Shipped,13848,887721,"Unit 3742 Box 5880
DPO AA 97840",77660
34512582,107811,01/31/2023,Delivered,18563,891544,"95378 Donald Parkways
North Shannonfurt, AL 18135",77490
34512583,110657,07/26/2023,Shipped,16027,884960,"225 Moore Bypass
Lake Sandra, NY 66551",77287
34512584,108313,07/16/2023,Delivered,9543,891769,"1541 Mccormick Walks Apt. 710
Reynoldschester, DC 30750",76515
34512585,104692,07/20/2023,Delivered,6193,897366,"71392 William Gateway Apt. 164
Scottfort, AK 55133",77392
34512586,109051,07/04/2023,Cancelled,9219,888684,,77379
34512587,103937,04/30/2023,Delivered,16357,888825,"0135 John Stream Apt. 942
Lake Jessica, GA 57763",76927
34512588,110874,01/14/2023,Shipped,15424,890674,"79796 Jonathan Alley
Johnsonton, KY 77060",77618
34512589,108733,07/20/2023,Cancelled,6263,890328,"46480 Mary Ford Apt. 527
Port Jeffreyberg, RI 67543",77026
34512590,108689,09/18/2022,Processing,14010,879251,"2639 Samantha Walk Apt. 669
North Joseph, ID 08551",78247
34512591,104201,02/27/2023,Cancelled,17139,888307,"9331 Ronald Fields
New Amy, MA 82547",76475
34512592,107787,07/18/2023,Processing,13669,887163,"Unit 1694 Box 9888
DPO AE 94888",77797
34512593,103935,02/26/2023,Processing,22156,888217,,77671
34512594,107986,07/19/2023,Delivered,16353,896142,"431 Kim Streets Apt. 984
Sharonstad, NV 71114",76774
34512595,109227,08/30/2022,Delivered,5805,894006,"Unit 1492 Box 9030
DPO AE 25134",77452
34512596,107808,02/03/2023,Processing,18256,884836,"USCGC Knox
FPO AE 46842",77037
34512597,103848,09/13/2022,Shipped,9454,896187,,78337
34512598,108731,08/03/2023,Cancelled,12689,895347,"USNV White
FPO AA 03238",78270
34512599,108648,09/06/2022,Processing,12416,885797,"8351 Foster Wells
North Frank, WV 15531",77673
34512600,107167,02/06/2023,Delivered,19076,886796,,77378
34512601,101661,04/21/2023,Cancelled,18167,889796,"27715 Chase Gateway Apt. 283
Brucehaven, OH 49838",77595
34512602,105289,02/01/2023,Delivered,23597,890701,"74028 Moss Crescent
North Amberstad, NV 15280",76825
34512603,106908,08/25/2022,Processing,13999,891729,"827 Lopez Station Apt. 781
Lake Kenneth, WY 39641",76482
34512604,101622,11/11/2022,Processing,13393,881134,"025 Kevin Course
Mosleyport, CA 38089",78017
34512605,103375,01/16/2023,Processing,21639,890816,"390 Todd Groves Suite 091
Andersonburgh, IA 34132",76671
34512606,104445,08/01/2023,Shipped,24111,886872,"63803 Vickie View Apt. 643
North Walter, NH 48893",77539
34512607,104758,08/01/2023,Processing,23183,881653,"254 Brown Center
Grahamview, VT 18302",77068
34512608,104974,04/15/2023,Delivered,18305,894977,"PSC 8730, Box 8690
APO AE 31906",76664
34512609,109842,06/21/2023,Shipped,11523,898078,"676 Paul Track
South Jacqueline, CA 05588",77131
34512610,104445,08/19/2022,Shipped,18701,886844,,76685
34512611,102341,09/28/2022,Cancelled,19932,890634,"26234 Ryan Pike Apt. 647
New Kaylaland, WA 55493",78382
34512612,104097,02/20/2023,Cancelled,20854,891282,"7732 Smith Plains
Thomasmouth, RI 92321",77131
34512613,108863,03/10/2023,Delivered,6722,891295,"52259 Mark Flat
New Jermaineland, DE 46063",77520
34512614,110273,02/02/2023,Shipped,24910,891738,,76568
34512615,107257,01/24/2023,Cancelled,23743,883559,,77528
34512616,104607,02/28/2023,Cancelled,18390,887827,"6443 Laura Way
New Erin, VT 06226",77315
34512617,110036,07/09/2023,Cancelled,17266,888279,,76989
34512618,107427,02/10/2023,Processing,20670,889182,"000 Joan Corner Apt. 656
Robertmouth, MS 04577",77707
34512619,110610,08/11/2022,Processing,18389,880995,,77718
34512620,108750,08/17/2022,Cancelled,8094,889040,"4316 Mills Camp Apt. 168
North Davidmouth, PR 32242",77505
34512621,103988,05/27/2023,Cancelled,12224,889042,,77349
34512622,104859,08/15/2022,Cancelled,11633,879488,"9875 Rebecca Common
South Matthew, HI 81650",77632
34512623,110459,07/10/2023,Shipped,15323,891784,"2269 Sharon Tunnel
South Rileyport, WA 03442",78044
34512624,109123,02/19/2023,Delivered,13128,881859,"997 Charles Views Suite 711
West William, PA 95286",77149
34512625,108575,08/11/2022,Delivered,19856,890696,"6598 Valerie Prairie
Martinton, NV 10314",77539
34512626,101787,04/14/2023,Processing,8803,885410,"71624 Cantrell Lodge
South Christopher, KY 01965",77815
34512627,107826,11/20/2022,Delivered,9062,887507,"71519 Romero Center
Danielshaven, WY 57400",78090
34512628,103416,11/21/2022,Shipped,6126,880024,"Unit 2741 Box 6239
DPO AA 69427",78279
34512629,102418,05/29/2023,Processing,8856,886708,"59012 Pitts Throughway Apt. 020
Lake Luke, GU 92284",77531
34512630,109196,08/06/2022,Shipped,24479,885570,"834 Kimberly Burgs
Monicaside, WI 85426",76532
34512631,107995,01/05/2023,Delivered,23585,894931,,77127
34512632,110604,01/03/2023,Processing,20069,890360,"3444 Christina Lake Apt. 088
South Patrickstad, MH 12077",77045
34512633,106426,09/08/2022,Shipped,6671,891431,"9824 Wilson Hollow
Wattsview, UT 68615",77332
34512634,105643,02/21/2023,Shipped,21561,890507,"10998 Smith Circles Apt. 685
Lisaton, DE 88045",77189
34512635,109553,09/10/2022,Delivered,13171,885964,"7717 Lindsey Locks Suite 445
South Kathrynberg, NC 86192",76698
34512636,107152,07/10/2023,Delivered,8975,882772,"2103 Thompson Hill
Millerchester, ME 48585",78283
34512637,102637,03/03/2023,Processing,21289,887096,"79775 Conley Vista
Lake Hollyland, PW 18787",76881
34512638,108713,09/28/2022,Delivered,13216,896649,,78369
34512639,104672,08/21/2022,Cancelled,15626,879658,"761 Wagner Square Apt. 352
Malonefurt, ID 98963",77667
34512640,108977,02/22/2023,Delivered,8709,887632,"73319 Chapman Light
North Jessemouth, MA 15449",77277
34512641,110179,02/02/2023,Delivered,13623,889626,,77157
34512642,109597,05/12/2023,Shipped,16212,896187,,77143
34512643,107775,11/23/2022,Delivered,19790,887745,"5527 Burnett Prairie Suite 905
New Douglasview, MN 51264",77882
34512644,110109,02/02/2023,Delivered,12883,895651,"Unit 6804 Box 1339
DPO AA 19290",78097
34512645,110455,11/05/2022,Processing,21282,887647,"4538 Hendricks Road
Lake Stevenville, AR 79891",77126
34512646,106684,08/01/2023,Cancelled,7185,887681,,77065
34512647,109172,05/14/2023,Processing,11162,880993,,77941
34512648,106941,06/01/2023,Delivered,14289,889629,"2343 Hudson Fort Apt. 192
Morrisville, TN 59695",77712
34512649,107715,07/06/2023,Shipped,22948,881938,"1390 Morris Cliffs
Richardmouth, NY 72365",77981
34512650,105230,03/26/2023,Delivered,17880,886384,"PSC 3033, Box 5394
APO AE 77197",76857
34512651,103710,07/02/2023,Cancelled,16424,896722,,77362
34512652,101655,03/26/2023,Cancelled,16366,890559,"Unit 3304 Box 3596
DPO AP 73213",78394
34512653,101153,10/06/2022,Shipped,11629,890293,"8565 Michele Village Suite 337
East Steven, OH 30306",77531
34512654,109378,01/27/2023,Delivered,11886,894859,"00334 Jones Stravenue Apt. 910
Lake Edwardfurt, WV 98669",77578
34512655,104413,07/25/2023,Processing,8259,881615,"23853 Rodriguez Circle Suite 922
Lake Kelsey, IA 30672",76778
34512656,106722,07/24/2023,Delivered,15612,882701,,76509
34512657,101431,11/03/2022,Cancelled,19179,893906,"559 Robin Garden Apt. 866
South Davidhaven, NM 81895",76604
34512658,107232,05/31/2023,Processing,5730,890670,"597 Stone Plains Apt. 546
Caseyview, NV 52259",77794
34512659,101987,06/24/2023,Shipped,17556,893166,"2657 Charles Mountain Apt. 220
Bradleyside, PA 52931",77875
34512660,107242,03/25/2023,Cancelled,16726,891062,"65543 Christopher Rest
Kennethberg, FM 71483",77926
34512661,107298,10/20/2022,Delivered,17571,896120,"1192 Caitlyn Shore Apt. 623
New George, ND 02391",77554
34512662,103767,02/08/2023,Processing,12285,897771,,77626
34512663,107430,10/07/2022,Cancelled,12250,893833,"3906 Shaun Hills
Deanfurt, GA 11358",76714
34512664,110278,01/09/2023,Delivered,10687,897321,"5251 Jacobs Hill
Lake Jenniferhaven, OR 64283",77800
34512665,108393,04/23/2023,Shipped,10033,894651,"09611 Bryan Extensions Apt. 514
East Nicole, CT 86456",78025
34512666,103326,03/02/2023,Shipped,14564,881359,,77923
34512667,109887,06/03/2023,Delivered,24523,885431,"PSC 9823, Box 6371
APO AE 11591",77214
34512668,101979,07/18/2023,Shipped,9770,878430,"976 Jodi Crossroad Suite 059
North Stephanie, NY 16062",78139
34512669,104011,12/25/2022,Delivered,16908,892766,"963 Vicki Mews
South Steveview, MN 08740",78436
34512670,104005,09/26/2022,Cancelled,24738,880078,"8408 Tammy Expressway
Huntview, CT 47452",77816
34512671,106997,09/07/2022,Processing,12223,881639,"90715 William Key
East Lukebury, DE 37994",76694
