shipping_id,order_id,shipping_date,estimated_delivery_date,shipping_carrier,tracking_number,shipping_cost,shipping_address,shipping_status,created_at,updated_at
5688,34522281,12/27/2022,01/22/2023,Ltd,7a9c4e86-25bc-4000-b6b4-1d220a1dbbfc,27.31,"6247 Lisa Inlet Apt. 839
Port Destiny, IL 36442",Shipped,2023-07-07T15:44:42,2020-11-09T17:18:33
5689,34528749,09/02/2022,09/26/2022,Ltd,ffb6d5c0-d480-4ddc-baf5-43ce5723fd2d,98.67,"PSC 2453, Box 1683
APO AA 95270",In Transit,2023-07-16T00:29:47,2021-04-05T04:54:02
5690,34515698,02/01/2023,02/14/2023,Group,c2a04f6d-4784-4d24-83d4-114d3e897b50,73.55,"30154 Rodriguez Stravenue
West Mercedesburgh, NE 19317",Shipped,2021-12-02T15:14:48,2022-10-11T22:20:42
5691,34521768,05/28/2023,06/10/2023,and Sons,f79430c2-593b-4892-a139-59d664d16fc0,18.99,"290 Anthony Viaduct
East Nathan, MI 93624",In Transit,2021-07-24T17:47:05,2021-10-12T00:56:44
5692,34514656,05/23/2023,05/30/2023,and Sons,6c626872-fae3-4983-b952-b178bb6d933c,91.45,"75681 Anderson Hollow
Lake Jamesstad, WV 85074",Cancelled,2022-11-21T10:04:30,2021-05-06T18:00:52
5693,34512760,11/26/2022,12/08/2022,Group,47afc5c4-765b-4dc2-ab2e-ce5254754482,39.24,"81900 Tammy Harbors
East Melissa, KS 82925",Cancelled,2021-07-29T21:44:56,2022-02-19T05:42:34
5694,34526253,09/11/2022,09/24/2022,PLC,2555372c-2eb0-4c03-bd92-c723e8297880,3.06,"18793 Howard Ports Apt. 470
Jacksonmouth, AK 75430",In Transit,2020-02-21T06:15:33,2021-06-06T17:49:28
5695,34519505,10/04/2022,10/28/2022,Ltd,4f14aded-86e1-4d76-9fb2-f9cebf17e13c,84.25,"78477 Miller Lakes
East Lauren, WV 09255",Cancelled,2022-04-25T06:26:21,2021-03-19T07:16:15
5696,34515752,11/01/2022,11/25/2022,LLC,4c73fde9-32f0-432f-b3d6-68c5be7c1c21,98.51,"1585 Misty Ferry Suite 772
Craigshire, IL 28912",Cancelled,2020-04-14T07:34:59,2023-01-09T22:50:20
5697,34524759,10/03/2022,10/07/2022,Ltd,5912ad7d-aa60-41e4-9c52-473a21ca828f,14.06,"4909 Meyer River
Lake Michaeltown, SD 13988",Delivered,2020-04-27T18:57:48,2020-06-23T16:29:26
5698,34529648,08/11/2022,08/16/2022,LLC,51d9aab6-d624-43ba-b521-4f2707c6d313,56.35,"130 Tanner Camp
Deniseton, UT 77333",Cancelled,2021-10-09T18:19:01,2021-05-05T22:28:40
5699,34518043,04/13/2023,04/28/2023,Group,0b22791e-0cb0-4f22-b014-bc769a6706b1,70.43,"9254 Williams Forks Apt. 308
Lindseyberg, MT 65599",Cancelled,2021-04-13T02:26:00,2022-10-14T18:45:20
5700,34519652,09/21/2022,10/19/2022,Group,aa0acb17-7bd4-4078-92ef-8ccf4d397041,38.55,"393 Jessica Cape
East Matthewton, NV 62485",Shipped,2022-08-14T20:04:35,2022-07-02T19:38:33
5701,34530461,04/28/2023,05/11/2023,PLC,1de424a5-fef7-4474-87d1-419fc9dc5e6c,52.26,"PSC 3218, Box 7449
APO AA 21366",Shipped,2021-06-01T08:17:30,2020-07-28T05:41:01
5702,34531909,01/27/2023,02/08/2023,Inc,265c3c08-fb88-4314-8000-0824ed207924,76.13,"838 Sharon Manors Suite 287
East Christine, NE 84692",Delivered,2021-04-13T03:11:33,2022-05-08T11:16:59
5703,34527688,07/06/2023,07/13/2023,Ltd,51f97885-8f4a-4d49-9398-e511f954728a,3.61,"375 Jessica Ferry Suite 520
North Marissabury, AZ 72018",Delivered,2022-03-18T15:13:06,2021-10-06T21:10:37
5704,34522014,11/26/2022,12/17/2022,Group,9ab1d8af-f09d-4317-9ebd-fd5bda085694,44.92,"9982 Adam Grove Apt. 338
Ballside, OH 99607",In Transit,2021-01-28T23:04:11,2020-12-12T02:58:40
5705,34513551,10/14/2022,11/01/2022,Group,bbd83ea0-f903-4cb3-b51e-fdde05328c4c,60.4,"44569 Rebecca Mountain Apt. 357
Jamesview, DE 08868",Delivered,2022-05-19T13:29:14,2022-02-05T10:08:22
5706,34516657,04/18/2023,05/08/2023,and Sons,796a6bfd-ed50-47fb-9623-ce1514ff8082,7.51,"3390 David Point
Stephaniemouth, NY 08031",Cancelled,2021-08-01T17:44:18,2020-09-04T06:06:55
5707,34525268,11/08/2022,11/20/2022,and Sons,9bda8997-170e-40d7-abe5-ba1a272bf8da,73.08,"95499 Angela Drives
West Meghanland, AL 66874",Shipped,2022-07-22T01:46:21,2021-10-24T14:47:47
5708,34516298,05/02/2023,05/17/2023,LLC,fcd5ed9f-b9e3-4b55-8d5f-40caf4c9f2df,39.66,"979 Mclaughlin Station Apt. 684
New Julie, OH 97272",In Transit,2021-05-26T16:48:05,2023-05-19T11:18:01
5709,34522379,11/28/2022,12/02/2022,and Sons,955eef8c-8c61-4b48-94e6-0fa8f63ff55a,61.28,"18741 George Ford Suite 644
East Erika, NM 89973",Cancelled,2021-10-28T20:26:49,2022-08-14T11:04:59
5710,34528081,11/02/2022,11/16/2022,Group,a929e7db-3374-4d37-a6bd-02a596dd890b,15.47,"4867 Williams Creek
South Frank, WY 27183",In Transit,2020-06-02T13:08:13,2021-02-16T13:17:24
5711,34523070,10/01/2022,10/18/2022,and Sons,f0632492-0104-4b6e-83a7-a7ced9e93e65,80.15,"258 Stephanie Shores Apt. 673
Lake Jordanside, PR 13787",Cancelled,2020-04-08T06:59:44,2021-02-13T01:28:30
5712,34524383,06/27/2023,07/24/2023,Group,f1746ec0-2627-4839-8586-c50349eadcdc,71.58,"35395 David Pike Suite 854
South Thomasbury, NJ 89488",Shipped,2020-10-13T11:26:38,2021-06-11T04:59:47
5713,34531276,02/12/2023,03/03/2023,Ltd,809cfe46-fc16-4322-9377-da862ed0f417,51.6,"44968 Bailey Forks Suite 917
Walkerside, DE 25535",Cancelled,2020-10-03T16:26:03,2021-11-07T04:20:50
5714,34524042,10/04/2022,10/09/2022,Group,7d4aa441-3e51-4ee1-8577-e8816ae15aa1,62.64,"9951 Tyler Street
West Brittanyfurt, VT 83268",In Transit,2021-09-19T02:17:30,2020-11-30T09:03:15
5715,34531398,05/31/2023,06/07/2023,Inc,d7ce9f15-9571-45f3-9d70-5f35374fc466,67.08,"167 Lee Fords
North Paulhaven, MI 42499",Shipped,2021-11-05T18:08:42,2021-06-06T07:53:24
5716,34529244,02/24/2023,02/28/2023,Inc,cfe7e96d-32e6-494e-b6b9-da5e22a54d13,15.06,"PSC 9495, Box 1347
APO AE 41434",Shipped,2020-09-18T14:26:40,2021-05-30T13:16:21
5717,34522738,09/07/2022,10/02/2022,and Sons,5ad0c8e3-1412-45ef-9df3-80e3d05bcd0f,13.67,"022 Sharon Glens Suite 635
Jillville, KY 31886",Shipped,2022-01-31T09:22:16,2020-04-14T09:22:24
5718,34514737,10/14/2022,11/02/2022,Ltd,21f678f5-bb5d-467d-812e-52193a50e685,35.96,"775 Ralph Extensions Apt. 332
Blakeborough, PW 50243",Cancelled,2021-12-11T03:02:29,2022-02-09T19:58:40
5719,34515464,09/24/2022,10/23/2022,PLC,35eee508-309f-486e-812b-275860e4fc60,14.11,"59372 Ian Junction
Hamiltonville, NV 13760",In Transit,2023-08-03T21:15:57,2021-07-23T16:12:27
5720,34528217,02/26/2023,03/26/2023,PLC,ba7a530b-c699-4625-99ae-7d49cce16d9e,10.39,"4901 Ward Plain
East Stephanieshire, MA 37547",Shipped,2020-07-23T21:44:34,2022-01-22T06:28:48
5721,34527359,11/12/2022,11/25/2022,Ltd,fe8303b0-a4bd-4053-92aa-36f46986ea79,38.95,"6984 Duarte Ville Suite 793
Feliciaport, PR 22898",Cancelled,2021-08-26T09:51:05,2023-06-29T01:24:07
5722,34529993,09/30/2022,10/16/2022,Ltd,d44880c9-2235-4a2c-8ddb-8cde495f3137,96.16,"5765 Elizabeth Court Apt. 802
East Richard, FM 03542",In Transit,2020-08-13T14:04:57,2020-09-30T13:40:28
5723,34517679,01/30/2023,02/13/2023,Ltd,7d692217-7ca3-445e-8e63-aa5438105579,44.37,"0446 Andrew Estate
Gregorymouth, NM 81331",Shipped,2023-01-06T10:14:32,2020-11-01T06:10:23
5724,34528419,02/28/2023,03/18/2023,and Sons,f7c8fc0e-5d35-4eb1-9bb1-0d03a0792c9f,71.12,"441 Stephens Gardens
West Christina, IN 25713",Delivered,2022-06-14T22:30:36,2022-04-13T14:43:22
5725,34526290,05/03/2023,05/21/2023,Ltd,85b05ea2-552d-455a-9a6e-a8b8e1a252eb,45.97,"1096 Glenn Station Suite 824
Lake Christopher, NC 92395",Delivered,2022-03-10T06:52:42,2020-09-05T20:46:43
5726,34521988,10/29/2022,11/17/2022,Group,f1414e90-958b-43a4-9672-1f4bb8ba7f80,4.05,"72268 Hopkins Glen Apt. 129
New Susan, HI 43279",Delivered,2020-04-22T17:19:44,2021-03-31T07:13:55
5727,34513844,04/24/2023,05/09/2023,PLC,9c58bf2d-872c-405b-995e-43faef1075a5,84.36,"9287 Stephanie Pass
Strongbury, MS 12616",Cancelled,2023-03-23T01:13:55,2020-07-29T04:24:32
5728,34523377,04/10/2023,05/08/2023,Ltd,88a8163e-ea8f-4231-973c-d7332dcd75fc,12.5,"945 Anne Valleys
Kelseystad, UT 29327",Shipped,2023-04-27T01:23:14,2023-03-26T17:54:20
5729,34517367,02/03/2023,03/01/2023,Group,d493a084-7b20-4d79-942b-bef76d3f27c4,53.59,"54449 Maxwell Dale Apt. 107
Marymouth, DC 27247",Shipped,2020-09-28T20:51:26,2020-08-18T13:07:13
5730,34531953,01/19/2023,02/14/2023,and Sons,866cc1fb-a802-4283-8baf-febb1d3fa897,33.74,"22478 Tammy Cliff
New Juliebury, NM 11425",Cancelled,2020-11-20T07:17:52,2021-02-15T18:30:28
5731,34524021,06/08/2023,06/18/2023,Ltd,4bf9ae64-5b8b-403e-8ee3-7a9ffbef33a5,47.15,"5973 Edwards Row
Jessicaborough, WV 43275",Cancelled,2022-04-24T07:21:15,2021-12-14T10:57:35
5732,34524745,12/02/2022,12/20/2022,Inc,81074ecb-6f2a-4e6a-be1d-12158e18c7e1,46.97,"58353 Megan Circles
Campbellton, CT 46046",In Transit,2021-05-15T04:23:21,2021-03-31T22:05:16
5733,34524303,07/06/2023,07/22/2023,Ltd,0b7b7152-afc9-43c9-921f-421570c3a0d1,96.13,"38949 Cook Expressway Apt. 506
New Alexander, ID 36875",Shipped,2021-10-06T16:57:18,2023-03-15T18:33:09
5734,34514073,12/16/2022,12/19/2022,Inc,6ce7db78-f111-40e4-b023-81d1011f49d1,6.58,"6306 Short Forks
Salazartown, IA 15596",Delivered,2021-08-22T21:25:59,2021-10-12T06:18:27
5735,34520606,10/17/2022,10/29/2022,Group,1e3137bc-34d5-4a39-b2ca-0de15acd3b1b,39.98,"879 Dana Rest
Heatherville, WI 96127",Cancelled,2020-05-22T02:10:18,2020-02-29T03:59:30
5736,34523819,01/04/2023,01/09/2023,Group,3ac8d60f-268e-460e-92c0-c77762f859c4,42.85,"840 Gillespie Terrace
Maryfurt, HI 89751",In Transit,2021-06-27T23:54:41,2023-07-10T09:14:12
5737,34524527,05/15/2023,05/17/2023,Ltd,82e28fd1-bdbc-444f-b2ce-79fb6e24a15c,45.4,"09452 Elizabeth Station Apt. 867
South Brittany, AZ 52314",Cancelled,2021-02-09T05:29:00,2022-03-21T00:01:26
5738,34518361,07/16/2023,08/12/2023,LLC,938d47c4-30bd-44c3-84b0-57b19fae56fe,12.84,"87182 Kathryn Rest Apt. 671
Gilbertfort, MD 97338",Shipped,2022-12-24T15:58:34,2021-01-08T04:36:54
5739,34516228,12/31/2022,01/20/2023,Inc,d49cf4dd-fc53-44bd-ae57-b3c8318f0bfa,91.57,"816 Russell Radial Apt. 838
Mathisville, LA 63063",Delivered,2021-05-02T23:25:18,2021-09-07T16:44:52
5740,34524929,05/08/2023,05/11/2023,LLC,4d5bcc5e-2c40-4644-b2d3-3f3d3b01c61d,73.44,"120 Mann Branch
East Rodneyside, RI 50945",Shipped,2022-07-16T23:59:21,2022-03-19T22:56:21
5741,34517953,09/27/2022,10/19/2022,Inc,425a09c1-8dff-4ef9-b8ef-b824f5fd7b84,29.28,"07263 White Ville
Mendozaside, WI 18964",Delivered,2022-01-07T21:46:51,2023-03-27T18:45:45
5742,34525738,08/24/2022,09/19/2022,LLC,cff579cf-6ef8-4068-879f-1734b3966b3c,46.03,"982 Lawson Circle
Theresaborough, MP 95783",Delivered,2022-12-12T03:17:10,2022-01-07T08:51:17
5743,34530918,11/04/2022,11/13/2022,Ltd,e86a1c13-8907-46cb-9e10-4267eb0f1408,66.92,"1138 Campbell Bypass
Mariamouth, DC 58510",Delivered,2022-03-16T15:58:57,2023-07-30T00:18:32
5744,34519393,10/21/2022,11/07/2022,LLC,98ec09a0-2d4a-439b-8787-7e77bc4329df,58.48,"51886 Davis Pike
Bryantville, CO 72003",Delivered,2023-01-07T17:33:17,2020-02-23T10:28:57
5745,34516583,05/25/2023,06/08/2023,Inc,aca3c643-f939-48cf-9251-d86140261e73,45.33,"11040 Gilbert Haven Apt. 004
North Rebecca, DC 43062",Delivered,2020-06-01T16:46:41,2022-04-04T11:40:21
5746,34529024,12/19/2022,12/21/2022,Inc,f99d95de-1e2b-48e1-b530-a83ab331714b,9.23,"398 Jessica Street
South Brianport, MA 32312",Shipped,2021-12-07T08:27:52,2022-09-09T15:34:59
5747,34527301,08/21/2022,09/02/2022,Group,1e17e54f-b186-4db2-a1b1-fcc6a72fa6c2,56.25,"5056 Lori Motorway
Davisville, DC 76083",Cancelled,2023-04-09T08:37:32,2022-02-14T09:19:54
5748,34526249,05/20/2023,06/15/2023,Inc,1e4c0724-a973-4761-9c3b-9191b084e2db,69.98,"1115 Christina Green
South Danielle, TX 79282",Cancelled,2020-07-12T23:51:24,2022-09-28T15:25:26
5749,34512860,02/21/2023,03/02/2023,PLC,d1a76507-25c5-4e70-b2e0-e86e34e2443f,61.7,"1546 Harry Mall Apt. 782
South Arthur, WI 82164",Shipped,2020-08-15T17:58:44,2023-02-03T06:54:23
5750,34520497,09/10/2022,10/04/2022,PLC,85a0e197-2ce9-44c9-891b-07d4c12655b6,63.89,"1258 Robert Port
East Damon, MH 83169",Cancelled,2022-04-29T08:55:00,2021-07-26T21:49:05
5751,34521470,04/15/2023,04/29/2023,and Sons,5c8a3632-7c45-4dcc-9fab-232e1401ad91,35.91,"1899 Paul Place
North Lisamouth, MO 79084",Shipped,2021-01-10T08:37:09,2022-01-06T09:10:26
5752,34530804,09/16/2022,09/27/2022,Ltd,35fc2c0a-bd37-412e-b5fb-f17d62e883c1,98.5,"87201 Cesar Knolls Suite 954
Coleville, VA 61741",In Transit,2021-02-22T18:01:24,2022-12-03T03:28:00
5753,34529018,03/11/2023,03/17/2023,Ltd,d1f5fd90-6536-47bc-9725-f3820e88ee9c,36.34,"7528 Brian Point
South Marymouth, NC 02948",In Transit,2021-04-15T10:18:51,2021-05-06T02:25:52
5754,34519167,07/20/2023,07/29/2023,Ltd,1de21929-db76-432f-b4a0-defd6dbccd7e,11.2,"0677 Amy Station
West James, WV 51606",In Transit,2022-04-05T04:21:46,2023-07-09T15:59:21
5755,34528475,12/22/2022,01/04/2023,and Sons,f6bba9b7-3a01-4121-81cd-bacc7f59bd05,67.73,"15331 Mathew Meadows
Markberg, WV 03673",In Transit,2021-08-17T03:55:18,2021-01-06T07:26:38
5756,34525609,01/16/2023,01/29/2023,Group,74c57795-8960-4102-a774-9b16a7c7ca2d,35.49,"5116 Vickie Curve Suite 548
West Summerland, GU 91921",In Transit,2021-10-05T07:04:34,2021-08-13T13:09:02
5757,34526716,10/01/2022,10/28/2022,Inc,9e7ec339-599e-468d-826a-2888814ee7b1,83.17,"87724 Jennifer Mountain Apt. 105
West Meganchester, NY 11675",In Transit,2021-10-01T16:27:20,2021-09-08T08:40:21
5758,34513750,04/28/2023,05/15/2023,PLC,872b99f1-534d-47b4-9bf6-5e09de69f279,66.6,"345 Jeffrey Union
Veronicaburgh, DC 99604",Shipped,2022-12-29T06:42:54,2021-06-20T13:57:11
5759,34531840,02/19/2023,02/28/2023,LLC,8d2d59e2-e87b-408e-b768-e0a9e77d730d,5.9,"USNS Olson
FPO AA 99304",Delivered,2020-04-22T00:18:21,2020-11-21T22:08:41
5760,34522341,03/15/2023,03/16/2023,Ltd,fb6719c0-92b9-456b-8b5b-8a85863f3a31,34.34,"9066 Christopher Flats Apt. 928
Travismouth, VT 33863",Delivered,2023-01-26T12:20:10,2021-02-15T14:10:22
5761,34531079,10/19/2022,11/02/2022,Ltd,fec6cee2-79eb-4cc8-ac10-d01d7a670ded,68.53,"662 Cooper Estates
North Josephton, MN 99855",In Transit,2022-04-12T07:59:52,2020-10-06T18:37:04
5762,34519673,03/31/2023,04/28/2023,Group,016185ee-9066-4372-9390-7c3e53b1d943,97.21,"Unit 0836 Box 2655
DPO AP 39164",Shipped,2020-11-09T13:58:15,2020-07-23T03:03:32
5763,34531068,06/24/2023,07/05/2023,PLC,222aa1f6-26dc-4af4-8c75-099bd2e0392b,83.18,"442 Foster Stravenue Apt. 780
Lake Staceyborough, VT 19014",In Transit,2020-10-24T10:42:12,2021-11-27T06:42:03
5764,34522203,03/30/2023,04/25/2023,PLC,c1f25103-f863-4f97-b399-482c2c614397,73.11,"386 Mooney Views Apt. 245
Millertown, NJ 88615",Shipped,2023-05-21T18:30:34,2022-12-14T03:29:26
5765,34525502,07/01/2023,07/10/2023,Inc,8458f9d8-6cbe-4d9e-b25a-597c0a84601a,32.81,"310 Williams Plaza
Terrancetown, DC 70599",In Transit,2020-02-20T15:28:45,2022-09-14T20:35:47
5766,34512802,12/05/2022,01/03/2023,and Sons,6eecb69f-58b5-4032-95cd-f0ef7bc6e1c4,49.91,"20207 Orozco Tunnel
West Melinda, AS 67753",Shipped,2022-07-06T14:40:45,2020-11-10T18:08:45
5767,34515291,10/29/2022,11/22/2022,LLC,36bf2b6e-d12b-4551-8720-38bfb954d462,52.83,"6339 Heather Drive Apt. 457
North Nancy, CT 02367",Shipped,2020-08-22T09:17:33,2020-01-05T21:05:03
5768,34530735,08/23/2022,09/04/2022,and Sons,f124f301-7b1e-4035-97e9-818bfc429c6c,25.76,"71103 Kathryn Fords
Port Vanessa, AR 65512",Delivered,2022-05-19T08:31:03,2020-01-08T22:02:49
5769,34532093,12/22/2022,12/23/2022,LLC,8a66f7b8-c31d-4c72-9b64-d536172ce0e2,82,"66093 Harrell Fork Apt. 020
Kathleenfurt, KY 15697",Shipped,2020-07-03T01:37:21,2021-05-14T14:27:35
5770,34515538,08/08/2022,09/03/2022,and Sons,8d20e307-19cd-44c7-a687-cb7970cdc33b,28.63,"USNV Chapman
FPO AP 04902",In Transit,2020-05-01T10:35:24,2021-12-02T21:48:00
5771,34522560,03/23/2023,04/14/2023,Group,e7306fc9-e88c-4c11-908d-b61e57e83bec,11.75,"5462 Baldwin Streets Apt. 958
Heatherhaven, CA 88093",Delivered,2023-06-03T02:25:26,2022-09-14T00:20:22
5772,34528321,04/26/2023,05/07/2023,LLC,7a9f46c4-ae01-42fa-813d-8f70c66bbed4,82.17,"Unit 2364 Box 3667
DPO AP 84089",Shipped,2022-05-18T08:54:18,2020-11-29T00:33:55
5773,34530674,02/15/2023,02/24/2023,Ltd,d7f0b435-20a0-4b96-922a-d7ce2b207ddd,93.33,"98328 Murphy Via Apt. 057
Scottland, AR 19084",Cancelled,2022-09-25T22:04:34,2021-09-29T07:54:15
5774,34521341,01/24/2023,02/06/2023,LLC,c3962ecb-cec3-40f5-be5d-a70d24b3fc99,50.08,"5791 Dennis Flats Apt. 257
Hutchinsonberg, AR 01579",Cancelled,2021-01-05T21:44:05,2022-02-25T07:25:04
5775,34526165,01/06/2023,01/30/2023,Ltd,ea39e180-805f-4d95-8528-3148981acf9b,48.77,"336 Mcbride Springs
Kevinberg, MO 31349",In Transit,2022-09-21T23:50:45,2020-12-15T15:26:51
5776,34521177,08/29/2022,09/26/2022,Group,2874438d-4de7-4e7b-97fa-7889344d0a89,7.4,"59766 Cooley Crest Suite 774
Josestad, NJ 40437",Cancelled,2021-07-26T14:55:15,2022-10-10T13:36:47
5777,34512545,02/13/2023,03/02/2023,Inc,f039c742-a048-4af2-a803-1fc279f76fb1,97.49,"22574 Dalton Pine
New Tonya, NH 93963",Cancelled,2021-04-11T14:28:14,2021-03-12T18:16:49
5778,34516139,05/25/2023,05/28/2023,Inc,7c01b30f-e765-4a54-8fc7-b323e52440ed,88.41,"810 Wolf Camp Apt. 309
South Daniel, NY 07438",In Transit,2022-12-19T20:22:55,2021-10-14T18:56:53
5779,34526822,10/31/2022,11/27/2022,Inc,8abe8843-504d-4c81-862e-705d513fdad5,44.36,"PSC 9262, Box 3109
APO AA 19568",In Transit,2021-10-03T14:03:27,2023-01-02T15:09:42
5780,34525801,11/05/2022,11/14/2022,LLC,76de2734-8770-40a3-865c-7e9dc93d4289,88.32,"77528 Ross Tunnel
Lake Michael, DC 82168",In Transit,2023-06-20T13:49:00,2020-02-15T21:36:08
5781,34522378,09/13/2022,09/14/2022,Ltd,824b5d02-4572-4c44-a52a-e71ce9ad1b75,27.79,"91098 Julie Divide Apt. 035
Maryhaven, MT 51394",Cancelled,2021-05-26T05:44:26,2021-11-08T01:47:02
5782,34524335,11/01/2022,11/14/2022,LLC,fb926f91-da16-4063-ac32-4aad028d802a,71.09,"503 Amanda Glens
West Brandonmouth, MP 79442",Cancelled,2023-06-26T08:49:22,2020-04-13T06:41:56
5783,34525316,08/04/2022,09/02/2022,PLC,4b84ce05-1fef-412d-970e-15e8cd10645e,65.41,"19334 Ramos Ridge Suite 802
Brianton, VA 40715",Shipped,2021-07-09T04:46:01,2021-02-26T22:22:54
5784,34525526,04/01/2023,04/04/2023,and Sons,329ea524-d496-4590-b3ae-a8399e518253,11.72,"86390 Wade Forges
West Laurachester, GA 09064",Shipped,2023-04-30T20:18:43,2020-01-02T19:49:04
5785,34528949,05/29/2023,06/25/2023,Group,5520e88b-1d95-4230-9624-f5b192bd8b10,10.66,"68656 Olson Ferry Suite 865
Meganshire, NE 84774",In Transit,2023-06-28T09:18:35,2020-02-28T19:13:06
5786,34514185,12/11/2022,01/04/2023,LLC,638d2d1c-b6f7-4e84-8e1e-45af335a03ef,34.42,"14980 Johnson Terrace
Port Allison, VI 17223",In Transit,2021-01-17T17:50:20,2022-06-26T10:25:23
5787,34530127,10/27/2022,11/20/2022,PLC,d708c141-3eb3-43a9-94b6-9b496bb46e9f,30.97,"088 Christopher Crest Suite 498
New Crystal, ND 87672",In Transit,2022-06-05T12:28:45,2020-08-16T12:58:47
5788,34520613,05/27/2023,06/16/2023,Inc,72e9269e-8616-4e59-b4b9-0e97ac0f3ade,75.92,"715 Kyle Junctions
North Wesley, PR 84494",Shipped,2020-03-20T03:44:05,2020-02-20T04:07:39
5789,34528719,10/04/2022,10/17/2022,Inc,15fee90f-2b4e-494c-8e72-a0800702a407,66.12,"34844 Smith Fords
Port Brendaland, NV 63963",Delivered,2023-02-09T21:13:28,2022-03-28T16:33:22
5790,34526535,03/29/2023,04/25/2023,and Sons,ca300d97-1a7f-4f6e-9bf8-bc65c95583e9,6.27,"5281 Pamela Common Apt. 072
East Christopher, MN 62300",In Transit,2022-03-07T11:16:22,2021-07-05T00:19:39
5791,34518301,08/27/2022,09/16/2022,PLC,e4fb339f-2ec8-46c2-b0cf-07371a773f10,43.09,"328 Lambert Summit
South Nathan, MO 82939",In Transit,2021-10-19T09:25:10,2021-07-13T05:18:43
5792,34522366,03/25/2023,04/17/2023,LLC,7747da76-2dbc-4321-9ecb-eeeedc3d68dc,51.5,"5338 Krueger Mission
North Jenniferburgh, DC 37637",Delivered,2021-06-04T13:51:24,2022-10-03T05:52:54
5793,34531765,01/08/2023,01/17/2023,and Sons,fe33bb59-7fe2-44ff-9620-d0f33ca18602,30.78,"0792 Durham Islands
North William, NJ 11721",In Transit,2021-05-15T03:38:53,2022-08-17T13:30:17
5794,34522896,04/16/2023,05/05/2023,PLC,5d67662a-eaea-4fb1-837c-c22cee96f9dd,51.65,"16999 Smith Lodge
West Justin, RI 30109",Cancelled,2021-11-27T00:43:35,2020-06-19T16:35:31
5795,34517753,10/15/2022,11/11/2022,Ltd,4017306e-5527-458a-81ef-9ed5ae0ec0cf,62.08,"86683 Jorge Lodge Apt. 944
Joeside, MD 80479",Delivered,2022-08-12T13:18:59,2022-03-09T01:56:57
5796,34521815,10/31/2022,11/06/2022,Ltd,00a0dab0-93ca-4e3b-9c33-f37bbc417391,25.4,"2450 Nicholson Alley
Port Trevorton, OH 36025",Cancelled,2020-10-10T22:48:10,2022-06-03T00:51:42
5797,34530207,10/08/2022,10/14/2022,Inc,96d7b79c-dab7-49c7-b0d0-48c07edd9861,97.13,"371 Smith Street
Courtneyland, AS 27974",Delivered,2021-06-08T05:03:14,2021-10-17T23:51:02
5798,34528801,06/02/2023,06/15/2023,and Sons,d04278c5-bc55-4ab7-8a88-0fad72dcdfd8,27.77,"163 Jenkins Glen
North Heidi, VT 05993",Shipped,2021-03-10T16:33:13,2022-07-09T04:14:34
